Author,Comment,Likes,Published_At,Replies
@Raisha5594,My lovely bamgchan,0,2025-03-30T05:36:43Z,0
@adaniadaha5667,That high note they did😮,0,2025-03-30T05:13:12Z,0
@hotlatte-ev2gf,I like this concept,2,2025-03-30T05:07:30Z,0
@melizazueta,I love banchan especially kimchi,1,2025-03-30T04:29:00Z,0
@E.B1963,Ugh they both look like the hot toxic boyfriend in this video lol 🤣👏🏼 they pull off that psycho vibe really well!! I need some water 😅,2,2025-03-30T04:15:37Z,0
@Gobilove-f9d,"Less than 400 k to 9 m,we can reach it today if we stream harder dont slow down please",4,2025-03-30T04:14:57Z,0
@numenius15,"Thank you Bang Chan and Hyunjin for the song, I really like it!",2,2025-03-30T03:56:18Z,2
@SKZ-ANIAT,"THE RED LIGHTS SCENE?????????? <a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=60"">1:00</a>",4,2025-03-30T03:42:30Z,0
@thebirdslol,Its lowkey giving play with fire and red lights but i love it❤,5,2025-03-30T03:36:23Z,0
@AleksaLi,"Oh, it&#39;s a sexy combo🤤😍 thank you for the second favorite song of your duo❤",3,2025-03-30T03:11:53Z,0
@numenius15,"Less than half to 9! Let&#39;s make it happen, STAY!<br>(⁠≧⁠▽⁠≦⁠)",5,2025-03-30T03:05:12Z,1
@DanielaVazquez-Angel,WHAT IN THE FREAKY😭🫦,2,2025-03-30T02:57:11Z,0
@ituaulagafuaina4616,Why do they look emo😢😢,0,2025-03-30T02:39:54Z,0
@hotlatte-ev2gf,Everything is perfect,2,2025-03-30T02:39:38Z,0
@phoenixtv1053,I don&#39;t know if they are fighting or about to make out. It&#39;s like vampire Bonny and Clyde vibes,2,2025-03-30T02:23:44Z,0
@valkyrieuprise5821,Oh I fvkin love this!! Like I’m just OBSESSED!! They did it again!? Go figure!! <br>They never disappoint!!,3,2025-03-30T02:19:37Z,0
@valkyrieuprise5821,I love the strong brotherhood they showcase in this!!,3,2025-03-30T02:16:31Z,0
@laylahhaguirre6293,I CAN&#39;T CHANGE IS JUST ARGHGHHHHHHHHH,2,2025-03-30T02:13:58Z,0
@RobertoHernandez-io1pc,The way they hugged and held hands is to cute….,5,2025-03-30T02:03:23Z,0
@Sabrina320,"This whole MV is crazy, love it",5,2025-03-30T01:51:07Z,0
@Queenvee713,Is this implying that they’re werewolves?? 😅,2,2025-03-30T01:45:07Z,0
@W4V33,BRO THEY TIRNED TO A FERRET AND A WOLF OMGGGGGG ITS LIKE SYY WOLF FIERCE FERRET,3,2025-03-30T01:41:14Z,0
@bluelix-,Lets go to 9M Stays!,6,2025-03-30T01:39:27Z,0
@fujoshidianxia,"RUN WILD (SA-YE) VIBES, ANYONE? 👀",2,2025-03-30T01:13:13Z,0
@Ilovekpopmini,period y&#39;all ate this song,3,2025-03-30T01:13:09Z,0
@Ilovekpopmini,I  lost my voice screaming at this video,3,2025-03-30T01:11:20Z,0
@Ilovekpopmini,im so stoked what is this bl called,2,2025-03-30T01:10:52Z,0
@Ilovekpopmini,this eats best mv ive ever seen,11,2025-03-30T01:10:21Z,0
