Category,Product,Cluster,Total_Price_Bin,Price_Bin,Quantity_Bin
Water,Vittel,2,Very Low,Budget,Low
Water,Vio Wasser,2,Low,Budget,Medium
Alcoholic Beverages,Kölsch,3,Low,Budget,Low
Water,Evian,2,High,Budget,High
Water,Volvic,2,Very Low,Budget,Low
Water,Selters,2,Very Low,Budget,Very Low
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Medium
Alcoholic Beverages,Kölsch,3,Low,Budget,Medium
Water,Vittel,2,Low,Budget,High
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Very Low
Water,Vittel,2,Medium,Budget,Very High
Water,Apollinaris,2,Low,Budget,Low
Soft Drinks,Mountain Dew,1,Medium,Budget,Very High
Water,Gerolsteiner,2,High,Budget,Very High
Water,Vittel,2,Very Low,Budget,Low
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Very Low
Soft Drinks,Mountain Dew,1,Low,Budget,Medium
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Medium
Water,San Pellegrino,2,Low,Budget,Medium
Water,Apollinaris,2,Low,Budget,Medium
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Vittel,2,Medium,Budget,Very High
Soft Drinks,Sprite,1,Medium,Budget,High
Water,Apollinaris,2,Low,Budget,Medium
Soft Drinks,Coca-Cola,1,Very Low,Budget,Very Low
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Selters,2,Medium,Budget,High
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Medium
Water,Apollinaris,2,High,Budget,High
Water,Selters,2,Low,Budget,High
Water,Volvic,2,Low,Budget,Medium
Water,Gerolsteiner,2,Medium,Budget,High
Soft Drinks,Mezzo Mix,1,Low,Budget,Medium
Water,Volvic Touch,2,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,Low
Water,Vio Wasser,2,Medium,Budget,High
Water,Selters,2,High,Budget,Very High
Soft Drinks,Mezzo Mix,1,Low,Budget,Medium
Water,Selters,2,Very Low,Budget,Medium
Water,Vittel,2,Medium,Budget,High
Water,Gerolsteiner,2,Low,Budget,High
Water,Vittel,2,Very Low,Budget,Low
Water,Gerolsteiner,2,Medium,Budget,Very High
Water,Volvic,2,Very Low,Budget,Medium
Water,San Pellegrino,2,Low,Budget,Low
Water,Volvic,2,Low,Budget,High
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Medium
Water,San Pellegrino,2,Low,Budget,Medium
Soft Drinks,Sprite,1,High,Budget,Very High
Water,Selters,2,Medium,Budget,Very High
Water,Selters,2,Low,Budget,High
Soft Drinks,Sprite,1,Low,Budget,High
Soft Drinks,Mountain Dew,1,Low,Budget,Medium
Water,Volvic Touch,2,Medium,Budget,High
Water,Vittel,2,Very Low,Budget,Low
Water,Vittel,2,Very Low,Budget,Medium
Water,Selters,2,Very Low,Budget,Very Low
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Water,San Pellegrino,2,Very Low,Budget,Very Low
Soft Drinks,Fanta,1,High,Budget,Very High
Water,Volvic,2,High,Budget,High
Water,Selters,2,Very Low,Budget,Medium
Water,Vittel,2,Medium,Budget,High
Water,Volvic,2,Very Low,Budget,Very Low
Water,Vio Wasser,2,High,Budget,Very High
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Medium
Alcoholic Beverages,Kölsch,3,Low,Budget,High
Soft Drinks,Sprite,1,Low,Budget,High
Soft Drinks,Mezzo Mix,1,Medium,Budget,Very High
Soft Drinks,Mezzo Mix,1,High,Budget,Very High
Water,Selters,2,Very Low,Budget,Low
Soft Drinks,Sprite,1,Low,Budget,Medium
Alcoholic Beverages,Kölsch,3,Low,Budget,Medium
Water,Selters,2,Low,Budget,High
Water,Volvic,2,Low,Budget,High
Water,Apollinaris,2,Very Low,Budget,Low
Water,San Pellegrino,2,High,Budget,Very High
Water,Selters,2,High,Budget,Very High
Water,Volvic,2,Very Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Very Low
Water,Vittel,2,Low,Budget,Very High
Water,Volvic,2,Very Low,Budget,Medium
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Medium
Water,Volvic,2,Medium,Budget,High
Water,Vittel,2,High,Budget,Very High
Water,Vittel,2,Low,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Medium
Water,Selters,2,Very Low,Budget,Low
Water,Vittel,2,High,Budget,Very High
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Very Low
Water,Volvic,2,Low,Budget,Medium
Water,Volvic,2,Low,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Very Low
Water,Vio Wasser,2,Medium,Budget,High
Water,Volvic,2,Low,Budget,Medium
Water,Vittel,2,Medium,Budget,Very High
Water,San Pellegrino,2,High,Budget,Very High
